job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details
Sr. Data Analyst (Big Query)_Dgliger,Coders Brain Pvt Ltd,2-7 Yrs,2,7,1.6-27.0L/yr,160000.0,2700000.0,New Delhi,240,Naukri,3.9,30,"Data Analyst, Senior Data Analyst, query"
Data Analyst/Architect/Scientist/Engineer,Diverse Lynx,4-10 Yrs,4,10,3.6-13.3L/yr,360000.0,1330000.0,Hyderabad / Secunderabad,240,Naukri,3.9,30,"Data Analyst, Architect"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.0-26.5L/yr,100000.0,2650000.0,Hyderabad / Secunderabad,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.0-17.5L/yr,100000.0,1750000.0,Chennai,365,Naukri,3.9,30,"SQL, MySQL, Python"
Data Analyst,Diverse Lynx,3-6 Yrs,3,6,2.6-16.0L/yr,260000.0,1600000.0,Gurgaon / Gurugram,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,0.8-17.0L/yr,80000.0,1700000.0,Chennai,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.6-39.5L/yr,165000.0,3950000.0,Bangalore / Bengaluru,365,Naukri,3.9,30,"SAS, Data analysis, Data mining"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.2-21.0L/yr,115000.0,2100000.0,Gurgaon / Gurugram,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,5-7 Yrs,5,7,2.0-30.0L/yr,200000.0,3000000.0,Bangalore / Bengaluru,365,Naukri,3.9,30,"SQL, Python, Senior Data Analyst"
SQL Developer,Diverse Lynx,2-6 Yrs,2,6,3.4-5.0L/yr,340000.0,500000.0,Bangalore / Bengaluru,365,Naukri,3.9,30,"SQL, Data Analyst, query"
Principal Data Analyst,YourDOST,5-7 Yrs,5,7,11.6-13.7L/yr,1160000.0,1370000.0,Bangalore / Bengaluru,365,Naukri,3.9,30,"Data Analyst, Python, Wellness"
Data Analyst,Mantras2Success Consultants,1-6 Yrs,1,6,0.1-11.5L/yr,10000.0,1150000.0,Ahmedabad,365,Naukri,3.9,30,"Outbound, Back office, Customer support"
Microsoft Azure Data Analyst,Coders Brain Pvt Ltd,5-6 Yrs,5,6,1.7-18.7L/yr,168000.0,1870000.0,Chennai,300,Naukri,3.9,30,"Data Analyst, SQL, Project management"
SQL DVELOPER CUM DATA ANALYST,Coders Brain Pvt Ltd,5-8 Yrs,5,8,2.1-22.5L/yr,210000.0,2250000.0,Gurgaon / Gurugram,300,Naukri,3.9,30,"Data Analyst, Data analysis, Business solutions"
Sr Data Analyst,Coders Brain Pvt Ltd,8-15 Yrs,8,15,3.0-38.0L/yr,300000.0,3800000.0,"Chennai, Pune, New Delhi",300,Naukri,3.9,30,"Unix, Remedy, Monitoring"
Data Analyst,Coders Brain Pvt Ltd,4-7 Yrs,4,7,1.6-20.5L/yr,165000.0,2050000.0,Mumbai,300,Naukri,3.9,30,"SQL, Automation, Business intelligence"
Data Analyst,Coders Brain Pvt Ltd,4-6 Yrs,4,6,2.3-23.0L/yr,230000.0,2300000.0,Gurgaon / Gurugram,300,Naukri,3.9,30,"Data Analyst, Data analysis, Business solutions"
Data analyst,Coders Brain Pvt Ltd,2-15 Yrs,2,15,0.1-42.0L/yr,10000.0,4200000.0,Remote,300,Naukri,3.9,30,"Data mining, Business solutions, Data Analyst"
Data analystics,Coders Brain Pvt Ltd,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Remote,300,Naukri,3.9,30,"SQL, Python, Business intelligence"
Data analyst,Coders Brain Pvt Ltd,3-6 Yrs,3,6,0.2-96.0L/yr,20000.0,9600000.0,Remote,300,Naukri,3.9,30,"Troubleshooting, Manager Quality Assurance, Data mining"
Data Analyst (Snowflake),Coders Brain Pvt Ltd,6-8 Yrs,6,8,3.0-24.8L/yr,295000.0,2475000.0,Pune,300,Naukri,3.9,30,"SQL, Python, RDBMS"
Data Analyst,Coders Brain Pvt Ltd,4-9 Yrs,4,9,1.6-26.5L/yr,165000.0,2650000.0,Mumbai,300,Naukri,3.9,30,"SAS, Business analytics, SQL"
BI Data Analyst,Coders Brain Pvt Ltd,2-6 Yrs,2,6,2.6-6.5L/yr,256400.0,650000.0,Bangalore / Bengaluru,300,Naukri,3.9,30,"power bi, Oracle, MySQL"
Data Analyst (Executive/ Sr.Executive),Bultaminds Venture,5-10 Yrs,5,10,2.0-13.0L/yr,205000.0,1300000.0,Panaji/Panjim,330,Naukri,3.9,30,"Project management, SQL, MS Office"
